61061071-ML-away-Duel,101.38,ML,Duel,1.33,11.00,4.80,61061071,Juventus Turin,Cagliari Calcio,Football,Italy - Serie A
61300765-ML-away-Duel,119.41,ML,Duel,1.25,13.00,5.80,61300765,Manchester City,Leeds United,Football,England - Premier League
61379807-Team Total Home-home-Duel-1.5,153.07,Team Total Home,Duel,4.30,1.17,,61379807,TOP Oss,RKC Waalwijk,Football,Netherlands - Eerste Divisie
61513806-ML-home-Duel,100.42,ML,Duel,1.11,20.00,9.20,61513806,Bayern Munich,FC St. Pauli,Football,Germany - Bundesliga
56418655-Spread-away-Duel-0.25,100.18,Spread,Duel,1.38,3.05,,56418655,Italy,Norway,Football,"International - WC Qualification, UEFA"
61624190-Totals-away-Duel-3.25,100.11,Totals,Duel,2.08,1.75,,61624190,FC Barcelona,Athletic Bilbao,Football,Spain - LaLiga
56524275-Totals-home-Duel-2.5,102.1,Totals,Duel,1.59,2.14,,56524275,FC Rosengaard Malmo,Linkopings FC,Football,Sweden - Damallsvenskan
61688118-Spread-home-Duel--0.5,122.49,Spread,Duel,1.84,1.80,,61688118,CD Tenerife,Granada CF,Football,Spain - Primera Division Women
62721383-Totals-home-Duel-3.5,102.91,Totals,Duel,1.95,1.71,,62721383,Afk Csikszereda Miercurea Ciuc,CS Gloria 2018 Bistrita-Nasaud,Football,"Romania - Superliga, Women"
61489181-Totals-home-Duel-4.5,105.05,Totals,Duel,1.97,1.69,,61489181,Montrose FC,Glasgow City LFC,Football,"Scotland - Premier League, Women"
63472131-Totals HT-home-Duel-0.5,100.92,Totals HT,Duel,1.45,2.44,,63472131,AO Kavala 1965,Kampaniakos,Football,Greece - Super League 2
64484703-Totals-home-Duel-2.5,101.03,Totals,Duel,1.80,1.84,,64484703,Shabab Al Ahli Dubai,Al-Nasr Dubai CSC,Football,United Arab Emirates - Pro League Cup
61098871-Corners Totals-away-Duel-8.5,101,Corners Totals,Duel,1.70,2.02,,61098871,Estudiantes de La Plata,Argentinos Juniors,Football,Argentina - Liga Profesional
